run_number,total_runs,pop_size,gens,select,crossover,mutate,xo_prob,mut_prob,tourn_size,best_fitness_lst
2,10,20,20,fps,arithmetic_xo,inversion_mutation,0.9,0.3,,"[0.5400166511535645, 0.6636166572570801, 0.8283500075340271, 0.8283500075340271, 0.856166660785675, 0.906083345413208, 0.9229833483695984, 0.9311333298683167, 0.9311500191688538, 0.9311500191688538, 0.9311500191688538, 0.9311500191688538, 0.9315833449363708, 0.9327499866485596, 0.9384499788284302, 0.9420166611671448, 0.9420166611671448, 0.9420166611671448, 0.9420999884605408, 0.9430500268936157]"
3,10,20,20,fps,arithmetic_xo,inversion_mutation,0.9,0.3,,"[0.5532000064849854, 0.5532000064849854, 0.7036833167076111, 0.7036833167076111, 0.7036833167076111, 0.8534333109855652, 0.8534333109855652, 0.8568166494369507, 0.8612833619117737, 0.8612833619117737, 0.8612833619117737, 0.8612833619117737, 0.879883348941803, 0.8993833065032959, 0.8993833065032959, 0.9147499799728394, 0.9147499799728394, 0.9246000051498413, 0.9246000051498413, 0.9246000051498413]"
4,10,20,20,fps,arithmetic_xo,inversion_mutation,0.9,0.3,,"[0.7327166795730591, 0.8361166715621948, 0.8953999876976013, 0.9240666627883911, 0.9240666627883911, 0.9301499724388123, 0.93954998254776, 0.93954998254776, 0.93954998254776, 0.9403499960899353, 0.9403499960899353, 0.9505333304405212, 0.9505333304405212, 0.9505333304405212, 0.9505333304405212, 0.9505333304405212, 0.9505333304405212, 0.9605333209037781, 0.9605333209037781, 0.9605333209037781]"
5,10,20,20,fps,arithmetic_xo,inversion_mutation,0.9,0.3,,"[0.8349000215530396, 0.9194999933242798, 0.9194999933242798, 0.9549833536148071, 0.9623000025749207, 0.9623000025749207, 0.9623000025749207, 0.9623000025749207, 0.9623000025749207, 0.9623000025749207, 0.9623000025749207, 0.9748499989509583, 0.9805333614349365, 0.9805333614349365, 0.9805333614349365, 0.9805333614349365, 0.981333315372467, 0.981333315372467, 0.981333315372467, 0.981333315372467]"
6,10,20,20,fps,arithmetic_xo,inversion_mutation,0.9,0.3,,"[0.2931833267211914, 0.3230000138282776, 0.611050009727478, 0.8284000158309937, 0.8284000158309937, 0.8562999963760376, 0.8562999963760376, 0.8895833492279053, 0.8897333145141602, 0.8897333145141602, 0.8989999890327454, 0.9083166718482971, 0.9083166718482971, 0.9089833498001099, 0.9213833212852478, 0.92371666431427, 0.9434166550636292, 0.9451500177383423, 0.9478499889373779, 0.966616690158844]"
7,10,20,20,fps,arithmetic_xo,inversion_mutation,0.9,0.3,,"[0.6793166399002075, 0.826533317565918, 0.826533317565918, 0.8983333110809326, 0.9111999869346619, 0.9111999869346619, 0.9111999869346619, 0.9184166789054871, 0.9422833323478699, 0.9544333219528198, 0.9678666591644287, 0.9747999906539917, 0.9747999906539917, 0.9927999973297119, 0.9937000274658203, 0.9937000274658203, 0.9937000274658203, 0.9937000274658203, 0.9951500296592712, 0.9960500001907349]"
8,10,20,20,fps,arithmetic_xo,inversion_mutation,0.9,0.3,,"[0.48295000195503235, 0.5311499834060669, 0.5311499834060669, 0.5311499834060669, 0.6743999719619751, 0.6782666444778442, 0.6782666444778442, 0.7191500067710876, 0.7357000112533569, 0.7390333414077759, 0.7390333414077759, 0.7390333414077759, 0.7390333414077759, 0.8292499780654907, 0.8292499780654907, 0.8292499780654907, 0.8302000164985657, 0.8325499892234802, 0.8979833126068115, 0.8979833126068115]"
9,10,20,20,fps,arithmetic_xo,inversion_mutation,0.9,0.3,,"[0.8345166444778442, 0.8345166444778442, 0.8345166444778442, 0.8360333442687988, 0.8372499942779541, 0.8764333128929138, 0.890500009059906, 0.9256666898727417, 0.9320166707038879, 0.9678000211715698, 0.9678000211715698, 0.9678000211715698, 0.9779499769210815, 0.9779499769210815, 0.9780666828155518, 0.9783999919891357, 0.983299970626831, 0.983299970626831, 0.983299970626831, 0.983299970626831]"
10,10,20,20,fps,arithmetic_xo,inversion_mutation,0.9,0.3,,"[0.5400166511535645, 0.6636166572570801, 0.8283500075340271, 0.8283500075340271, 0.856166660785675, 0.906083345413208, 0.9229833483695984, 0.9311333298683167, 0.9311500191688538, 0.9311500191688538, 0.9311500191688538, 0.9311500191688538, 0.9315833449363708, 0.9327499866485596, 0.9384499788284302, 0.9420166611671448, 0.9420166611671448, 0.9420166611671448, 0.9420999884605408, 0.9430500268936157]"
1,10,20,20,fps,arithmetic_xo,arithmetic_mutation,0.9,0.3,,"[0.6514999866485596, 0.6514999866485596, 0.6514999866485596, 0.8228499889373779, 0.8228499889373779, 0.8228499889373779, 0.8228499889373779, 0.8228499889373779, 0.8228499889373779, 0.8228499889373779, 0.8228499889373779, 0.8303833603858948, 0.8303833603858948, 0.8303833603858948, 0.8606166839599609, 0.8606166839599609, 0.869533360004425, 0.9168333411216736, 0.9168333411216736, 0.9168333411216736]"
